Run,GA_popexp_40cities_100pop_500gen_rank,GA_popexp_40cities_100pop_500gen_prop,GA_popexp_40cities_100pop_500gen_top,GA_popexp_100cities_100pop_500gen_rank,GA_popexp_100cities_100pop_500gen_prop,GA_popexp_100cities_100pop_500gen_top
1,5132.366461,5589.188767,4845.903118,10576.577895,17261.991261,11705.150689
2,5064.955562,5101.043996,4918.020601,10010.489637,16048.619001,11812.788703
3,5204.002724,5642.984188,4949.962070,10663.318162,15703.550217,12040.996245
4,5086.245295,5460.902516,5046.966826,10412.235772,15318.459021,11854.407850
5,5068.949469,5301.915747,5132.025341,10526.141931,16437.119599,12215.883633
6,5078.424621,5732.552043,5525.629894,10480.655786,16354.729561,11877.607378
7,4957.362999,5143.121445,5152.751345,10049.521097,15785.184765,11343.888688
8,4932.434984,5334.906407,4947.764284,10138.131141,16011.164830,10955.850217
9,5035.873683,5341.074541,5192.936990,10322.802760,15510.752401,12385.012612
10,4951.065374,5396.984577,5132.529711,10884.069304,15315.128699,11366.070284
