Run,GA_popexp_40cities_100pop_500gen_stoUni,GA_popexp_40cities_100pop_500gen_roulette,GA_popexp_40cities_100pop_500gen_tourn,GA_popexp_100cities_100pop_500gen_stoUni,GA_popexp_100cities_100pop_500gen_roulette,GA_popexp_100cities_100pop_500gen_tourn
1,5132.366461,5330.999344,4985.748509,10576.577895,11074.544838,10340.697462
2,5064.955562,5042.920720,5031.980164,10010.489637,10738.093962,10290.632739
3,5204.002724,5355.713630,5048.945950,10663.318162,10006.425336,10132.621738
4,5086.245295,5027.397893,4941.182665,10412.235772,9982.550591,10238.639974
5,5068.949469,4797.130361,4991.319147,10526.141931,10422.632860,10437.128679
6,5078.424621,5435.425570,5118.171498,10480.655786,9908.018409,9865.385107
7,4957.362999,4932.857177,4932.574375,10049.521097,10460.719545,10193.759369
8,4932.434984,4951.844368,5026.467281,10138.131141,10374.350733,10068.991389
9,5035.873683,5257.804978,4797.130361,10322.802760,10635.310562,10017.812228
10,4951.065374,4837.870098,4985.797127,10884.069304,10017.622808,10309.221804
